DOI,Journal,Year,Title,Method category,Specific method,Evidence
https://doi.org/10.1002/(SICI)1520-6688(200024)19:1<75::AID-PAM5>3.0.CO;2-W,Journal of Policy Analysis and Management,1999,Peer effects in private and public schools across countries,Quantitative,Statistical Analysis ,"In this research, we examine the peer effect with a unique data set that includes individual student achievement scores and comprehensive characteristics of the students' families, teachers, other school characteristics, and peers for five countries."
https://doi.org/10.1002/(SICI)1520-6688(200024)19:1<93::AID-PAM6>3.0.CO;2-X,Journal of Policy Analysis and Management,1999,The interaction between single mothers' living arrangements and welfare participation,Quantitative,Statistical Analysis ,"Using data from the 1990 Survey of Income and Program Participation, I estimate a two-stage instrumental variables model and simulate the effects of partial- and full-family benefit reductions on both the distribution of living arrangements and the rate of welfare participation. "
 https://doi.org/10.1002/(SICI)1520-6688(200024)19:1<118::AID-PAM7>3.0.CO;2-4,Journal of Policy Analysis and Management,1999,Exploring the relationship between performance management and program impact: A case study of the job training partnership act,Quantitative,Experimental  Analysis ,data from an experiment in 16 sites are used to determine how closely measured performance corresponds to program impact.
https://doi.org/10.1002/1520-6688(200023)19:4<527::AID-PAM1>3.0.CO;2-4,Journal of Policy Analysis and Management,2000,Determinants of initial entry onto welfare by young women,Quantitative,Statistical Analysis ,"Using data from the youngest cohorts of women in the National Longitudinal Survey of Youth, … provide mixed evidence that the financial or other incentives of welfare policy affect the likelihood and timing of AFDC use."
 https://doi.org/10.1002/1520-6688(200023)19:4<547::AID-PAM2>3.0.CO;2-%23,Journal of Policy Analysis and Management,2000,How important are the cognitive skills of teenagers in predicting subsequent earnings?,Quantitative,Statistical Analysis ,"This paper addresses these questions using two longitudinal data sets with earnings information from the mid-1980s and early 1990s.  It shows that the same evidence can be used to support the claim that cognitive skills are important determinants of subsequent earnings, and that the effect of cognitive skills is modest.
"
 https://doi.org/10.1002/1520-6688(200023)19:4<569::AID-PAM3>3.0.CO;2-P,Journal of Policy Analysis and Management,2000,The environmental impact of suburbanization,Quantitative,Statistical Analysis ," This paper uses recent household-level data sets to study some of the environmental consequences of population suburbanization. It measures the increase in household driving, home fuel consumption, and land consumption brought about by population dispersion. "
 https://doi.org/10.1002/1520-6688(200023)19:4<587::AID-PAM4>3.0.CO;2-Q,Journal of Policy Analysis and Management,2000,"Values, conflict, and trust in participatory environmental planning",Qualitative,Case Study ,Data for the analysis came from a “case survey” method in which the authors systematically coded information from previously written case studies.
 https://doi.org/10.1002/1520-6688(200023)19:4<603::AID-PAM5>3.0.CO;2-3,Journal of Policy Analysis and Management,2000,Policy analysis in the presence of distorting taxes,Quantitative,Theoretical Analysis,"…describes the new literature in environmental economics on the so-called “double-dividend” and then explores its implications for a broad range of economic issues. This literature reveals that in a second-best, general-equilibrium setting, environmental measures raise costs and prices and thereby reduce the real wage."
 https://doi.org/10.1002/1520-6688(200023)19:4<615::AID-PAM6>3.0.CO;2-U,Journal of Policy Analysis and Management,2000,The influence of red tape on bureaucratic behavior: An experimental simulation,Quantitative,Experimental Analysis,This study uses an experimental simulation to address these questions. It examines the effect of red tape upon the propensity to provide assistance to clients in a simulated public assistance agency.
https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<193::AID-PAM2>3.0.CO;2-Q,Journal of Policy Analysis and Management,2000,Presidential address— Seeing through the fog,Qualitative,Theoretical Analysis ,"That we have to use forecasts or projections, that we know they will be wrong, and that they usually are wrong raise some difficult questions for policy analysis and policymaking."
https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<207::AID-PAM3>3.0.CO;2-H,Journal of Policy Analysis and Management,2000,Within cities and suburbs: Racial residential concentration and the spatial distribution of employment opportunities across sub-metropolitan areas,Quantitative,Comparative ,"This article examines and compares the spatial distributions of new jobs and people across sub-metropolitan areas for Atlanta, Boston, Detroit, and Los Angeles. "
 https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<233::AID-PAM4>3.0.CO;2-N,Journal of Policy Analysis and Management,2000,Organizational form and performance: An empirical investigation of nonprofit and for-profit job-training service providers,Quantitative,Statistical Analysis,"This article presents research on publicly subsidized for-profit and nonprofit job-training service providers, namely whether organizational form influences client enrollment, service delivery activities, or performance, as measured in terms of participant outcomes."
https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<263::AID-PAM5>3.0.CO;2-H,Journal of Policy Analysis and Management,2000,Risky business? Evaluating market risk of equity investment proposals to reform social security,Quantitative,Statistical Analysis,"This article discusses the economic risks involved in public and private equity investments as a funding solution for Social Security. To quantify the risks involved in equity investment, stochastic simulations are based on the economic assumptions of the 1998 Trustees Report of Old Age and Survivors Insurance and Disability Insurance in combination with different assumptions about the rates of return on bonds and stocks."
https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<275::AID-PAM6>3.0.CO;2-7,Journal of Policy Analysis and Management,2000,Does state AFDC generosity affect child SSI participation?,Quantitative,Statistical Analysis,"…uses state-level data for three years before, and three years after, the Zebley decision to estimate the effect of state program generosity on child program participation. "
https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<297::AID-PAM7>3.0.CO;2-X,Journal of Policy Analysis and Management,2000,On the accuracy of regulatory cost estimates,Quantitative,Comparative ,This study compares ex ante estimates of the direct costs of individual regulations to ex post assessments of the same regulations.
 https://doi.org/10.1002/(SICI)1520-6688(200021)19:2<365::AID-PAM19>3.0.CO;2-B,Journal of Policy Analysis and Management,2000,Journal of policy analysis and management 1999 Vernon prize,Qualitative,Theoretical Analysis ,"Grounded in a innovative theoretical model, the work uses a creative means of measurement to evaluate empirically the use of policy analysis by legislative committees over a 10-year period."
 https://doi.org/10.1002/1520-6688(200124)20:1<1::AID-PAM1001>3.0.CO;2-I,Journal of Policy Analysis and Management,2001,"Welfare, work experience, and economic self-sufficiency",Quantitative,Statistical Analysis ,…estimate how wages grew with work experience between 1978 and 1992 for a national sample of women from the National Longitudinal Survey of Youth. 
https://doi.org/10.1002/1520-6688(200124)20:1<21::AID-PAM1002>3.0.CO;2-F,Journal of Policy Analysis and Management,2001,Bidding behavior in the department of defense's commercial activities competitions,Quantitative,Statistical Analysis ,"A three-equation model is constructed, which is used to estimate the in-house bid, the minimum contractor bid, and the in-house team's baseline cost. "
https://doi.org/10.1002/1520-6688(200124)20:1<43::AID-PAM1003>3.0.CO;2-4,Journal of Policy Analysis and Management,2001,The uneven playing field of school choice: Evidence from new zealand,,,This article examines how New Zealand's system of parental choice of schools played out in that country's three major urban areas with particular emphasis on the sorting of students by ethnic and socioeconomic status.
https://doi.org/10.1002/1520-6688(200124)20:1<65::AID-PAM1004>3.0.CO;2-U,Journal of Policy Analysis and Management,2001,Assessing the property value impacts of the dispersed subsidy housing program in Denver,Quantitative,Statistical Analysis ,"This assessment examined pre- and post-occupancy sales, while controlling for the idiosyncratic neighborhood, local public service, and zoning characteristics of the areas in order to identify which sorts of neighborhoods, if any, experienced declining property values as a result of proximity to dispersed housing tenants."
https://doi.org/10.1002/1520-6688(200124)20:1<89::AID-PAM1005>3.0.CO;2-H,Journal of Policy Analysis and Management,2001,Effective child support policy for low-income families: evidence from street level research,Qualitative,Descriptive ,This article analyzes findings from recent qualitative studies to explain why the child support system breaks down for so many low-income families. 
 https://doi.org/10.1002/1520-6688(200124)20:1<111::AID-PAM1006>3.0.CO;2-%23,Journal of Policy Analysis and Management,2001,Does setting limits save lives? The case of 0.08 BAC laws,Quantitative,Statistical Analysis,"This study presents novel, panel-based evaluations of 0.08 BAC laws, which address the potential methodological limitations of previous studies. "
https://doi.org/10.1002/1520-6688(200124)20:1<129::AID-PAM1007>3.0.CO;2-M,Journal of Policy Analysis and Management,2001,Financial incentives and welfare reform in the United States,Quantitative,Statistical Analysis,This paper uses a microsimulation model to ask whether welfare recipients in the United States would work full-time if offered an earnings supplement that was conditioned on full-time employment.
https://doi.org/10.1002/pam.2021,Journal of Policy Analysis and Management,2001,"Presidential Address—Expertise, Advocacy and Deliberation: Lessons from Welfare Reform",Qualitative,Descriptive,"What I would like to do, though, given the theme of the 2000 conference (Doing and Using Public Policy Analysis and Management Research), is reflect on the role of policy research in making public policy and on the responsibilities of policy researchers in the democratic process, using welfare reform, past and future, as an example."
https://doi.org/10.1002/pam.2022,Journal of Policy Analysis and Management,2001,"Are Whites Still Fleeing? Racial Patterns and Enrollment Shifts in Urban Public Schools, 1987–1996",Quantitative,Statistical Analysis,…examines data for 1987 and 1996 on racial composition and enrollment in all schools and school districts in 238 metropolitan areas. 
https://doi.org/10.1002/pam.2023,Journal of Policy Analysis and Management,2001,Deregulation and the Racial Composition of Airlines,Quantitative,Comparative,"This study finds that deregulation only modestly changed the racial composition of major airline occupations, which suggests that the change in market structure as a result of deregulation may largely determine the effect of regulatory reform on the racial composition of an industry."
https://doi.org/10.1002/pam.2024,Journal of Policy Analysis and Management,2001,Incentive Effects of Expanding Federal Mass Transit Formula Grants,Quantitative,Experimental,"This article reports the responses of mass transit firms to the federal transit subsidy program and changes the Transportation Equity Act for the 21st Century (TEA 21) made to that program, as predicted by a structural model of output choice. "
https://doi.org/10.1002/pam.2025,Journal of Policy Analysis and Management,2001,The Impact of Mandatory Waiting Periods and Parental Consent Laws on the Timing of Abortion and State of Occurrence among Adolescents in Mississippi and South Carolina,Quantitative,Statistical Analysis,Individual data on induced abortions from Mississippi and South Carolina are used to examine the effect of parental consent laws and mandatory delay statutes on two outcomes among teens:
 https://doi.org/10.1002/pam.2026,Journal of Policy Analysis and Management,2001,Cases and Controversies: How Novitiates Are Trained to Be Masters of the Public Policy Universe,Qualitative,Case Study ,"A close reading of 10 best-selling cases from the Kennedy School of Government finds the policy world to be the domain of high-level, lone protagonists beset by hostile political forces; collaborative problem-solving is rare, street-level actors insignificant, and historical, social, and institutional contexts of minimal importance. "
https://doi.org/10.1002/pam.2027,Journal of Policy Analysis and Management,2001,Local Government Restructuring: Privatization and Its Alternatives,Quantitative,Statistical Analysis,Logistic regression on the 201 responding governments differentiates the decision to restructure from the level and complexity of restructuring. 
https://doi.org/10.1002/pam.1000,Journal of Policy Analysis and Management,2001,Recasting Intractable Policy Issues: The Wider Implications of The Netherlands Civil Aviation Controversy,Quantitative,Stakeholder Analysis,This article describes a method that supports this recasting process through analysis of stakeholders' policy arguments; and in so doing contributes to the increasing literature on recasting intractable policy issues and to the recent discussion of Q-methodology in the Journal of Policy Analysis and Management. 
https://doi.org/10.1002/pam.1001,Journal of Policy Analysis and Management,2001,"Decision Aiding, Not Dispute Resolution: Creating Insights through Structured Environmental Decisions",Qualitative,Case Study ,"In the Alouette River case, great care was taken to ensure that stakeholders’ input would be transparent and easily traced."
https://doi.org/10.1002/pam.1002,Journal of Policy Analysis and Management,2001,Government Credible Commitment to the French and American Nuclear Power Industries,Qualitative,Theoretical Analysis,This article uses a transaction costs economics approach to examine government credible commitment to the French and American nuclear power industries. Positive political theory sheds light on the comparative institutional environment in each industry.
https://doi.org/10.1002/pam.1003,Journal of Policy Analysis and Management,2001,Packaging Support for Low-Income Families: Policy Variation across the United States,Quantitative,Statistical Analysis,Variation in state policy “packages” is measured by considering three characteristics of 11 social programs.
https://doi.org/10.1002/pam.1004,Journal of Policy Analysis and Management,2001,Does Urban Public Housing Diminish the Social Capital and Labor Force Activity of Its Tenants?,Quantitative,Statistical Analysis,A structural equation model of the hypothesized direct and indirect effects of public housing and neighborhood disadvantage on social capital and labor force activity is specified and fitted to these data. 
https://doi.org/10.1002/pam.1005,Journal of Policy Analysis and Management,2001,Testing a Financial Incentive to Promote Re-employment among Displaced Workers: The Canadian Earnings Supplement Project (ESP),Quantitative,Experimental Analysis,This article presents findings from a randomized experiment conducted in four Canadian provinces to measure the effects of a generous financial incentive that was designed to promote rapid re-employment among workers who were displaced from their jobs by changing economic conditions. 
https://doi.org/10.1002/pam.1006,Journal of Policy Analysis and Management,2001,Chronic Illness and Health Insurance-Related Job Lock,Quantitative,Statistical Analysis,Using Cox proportional hazard models to indicate the effect of health insurance and health status on workers' job duration we allow for more general insurance effects than that shown in the existing literature. 
 https://doi.org/10.1002/pam.1020,Journal of Policy Analysis and Management,2001,What Research Can Tell Policymakers about School Choice,Qualitative,Descriptive,"The research literature on various forms of school choice reveals some areas of consensus, but other areas where the results of studies diverge. "
 https://doi.org/10.1002/pam.1021,Journal of Policy Analysis and Management,2001,Location-Efficient Mortgages: Is the Rationale Sound?,Quantitative,Experimental Analysis ,This paper employs records of more than 8000 FHA-insured mortgages matched with data on various measures of location efficiency to test this proposition.
https://doi.org/10.1002/pam.1022,Journal of Policy Analysis and Management,2001,Assessing OSHA Performance: New Evidence from the Construction Industry,Quantitative,Comparative,"More generally, the paper illustrates the problem of focusing enforcement resources on large, high&hyphen;profile companies even though they often are not the major source of regulatory problems in an established area of public policy intervention."
https://doi.org/10.1002/pam.1023,Journal of Policy Analysis and Management,2001,Motivation for Compliance with Environmental Regulations,Qualitative,Case Study,Hypotheses about these factors were tested with data concerning Danish farmers' compliance with agro-environmental regulations.
 https://doi.org/10.1002/pam.1024,Journal of Policy Analysis and Management,2001,From Welfare to Work: Has Welfare Reform Worked?,Quantitative,Statistical Analysis,"…estimates of the effect of welfare reform, as measured by the imposition of time limits and family cap provisions, on the employment and fertility of less educated unmarried women. "
https://doi.org/10.1002/pam.1025,Journal of Policy Analysis and Management,2001,"Moving Up, Moving Out, or Going Nowhere? A Study of the Employment Patterns of Young Women and the Implications for Welfare Mothers",Quantitative,Statistical Analysis,"The data are drawn from the National Longitudinal Survey of Youth (NLSY). Based on the experiences of women who never received welfare, an estimated one-quarter of young women who received welfare could be firmly established in jobs paying more than $9.50 an hour by ages 26 and 27. "
https://doi.org/10.1002/pam.1026,Journal of Policy Analysis and Management,2001,Poverty across the Life Cycle: Evidence from the PSID,Quantitative,Statistical Analysis,"Life table analyses are divided into early adulthood (ages 20–40), middle adulthood (ages 40–60),and later adulthood (ages 60–80). "
https://doi.org/10.1002/pam.1037,Journal of Policy Analysis and Management,2001,The Economic impacts of the tobacco settlement,Quantitative,Cost-Benefit,The net efficiency implications of the settlement turn mainly on a comparison of the value of these health benefits relative to a valuation of the foregone pleasure of smoking. 
 https://doi.org/10.1002/pam.1038,Journal of Policy Analysis and Management,2001,The long-term effects of public housing on self-sufficiency,Quantitative,Statistical Analysis ,This study uses enriched data from the Panel Study of Income Dynamics to examine the effects of living in public housing as a child at some point between 1968 and 1982 on four young adult outcomes: welfare receipt; individual earnings; household earnings relative to the federal poverty line; and employment. 
https://doi.org/10.1002/pam.1039,Journal of Policy Analysis and Management,2001,Demographic change and the demand for environmental regulation,Quantitative,Comparative,This paper examines whether these trends have contributed to increasing aggregate demand for environmental regulation. 
https://doi.org/10.1002/pam.1040,Journal of Policy Analysis and Management,2001,"Affirmative action, duality of error, and the consequences of mispredicting the academic performance of african american college applicants",Quantitative,Statistical Analysis ,"A series of analyses was conducted under various assumptions concerning affirmative action plans, causes of racial differences in average college admissions test scores, and racial differences in accuracy of performance predictions."
https://doi.org/10.1002/pam.1041,Journal of Policy Analysis and Management,2001,Does choice lead to racially distinctive schools? Charter schools and household preferences,Quantitative,Comparative,"This report addresses this issue by analyzing the responses of 1,006 charter school households in Texas."
https://doi.org/10.1002/pam.1042,Journal of Policy Analysis and Management,2001,Paying for grades: Impact of merit-based financial aid on educational quality,Quantitative,Statistical Analysis ,The primary analyses employ a pooled time series data set that includes observations on all students who graduated from Georgia high schools between 1988–1989 and 1998–1999…
https://doi.org/10.1002/pam.10046,Journal of Policy Analysis and Management,2002,Presidential address—analysis of race as policy analysis,Qualitative,Theoretical Analysis,The discipline that does focus on race analysis—ethnic studies—provides little emphasis on policy analysis.
https://doi.org/10.1002/pam.10023,Journal of Policy Analysis and Management,2002,School vouchers and academic performance: results from three randomized field trials,Quantitative,Experimental Analysis ,The evaluations in all three cities are designed as randomized field trials. 
https://doi.org/10.1002/pam.10024,Journal of Policy Analysis and Management,2002,Medicaid matters: children's health and medicaid eligibility expansions,Quantitative,Statistical Analysis ," Using data from the National Health Interview Survey, we address whether the Medicaid expansions improved the health and functional status of children."
https://doi.org/10.1002/pam.10025,Journal of Policy Analysis and Management,2002,Car ownership and welfare-to-work,Quantitative,Statistical Analysis ,This study examines the role of car ownership in facilitating employment among recipients under the current welfare-to-work law. The data come from a 1999–2000 survey of TANF recipients in the Los Angeles metropolitan area. 
https://doi.org/10.1002/pam.10026,Journal of Policy Analysis and Management,2002,What determines the value of life? a meta-analysis,Quantitative,Statistical Analysis ,"This research uses meta-analysis to quantitatively assess the VSL literature. Results from existing studies are pooled to identify the systematic relationships between VSL estimates and each study's particular features, such as the sample composition and research methods."
https://doi.org/10.1002/pam.10073,Journal of Policy Analysis and Management,2002,The effect of child support on welfare exits and re-entries,Quantitative,Statistical Analysis ,The results indicate that strong child support enforcement is important in helping young mothers exit and stay off welfare. 
https://doi.org/10.1002/pam.10074,Journal of Policy Analysis and Management,2002,"Incentives, challenges, and dilemmas of TANF: A case study",Qualitative,Comparative,"This paper compares the incentives inherent in TANF (Temporary Assistance for Needy Families), the U.S. welfare system in place after the 1996 reforms, with those of TANF's predecessor, AFDC (Aid to Families with Dependent Children), using the experience in one state, Wisconsin, as an example. "
https://doi.org/10.1002/pam.10075,Journal of Policy Analysis and Management,2002,For richer or for poorer: Marriage as an antipoverty strategy,Quantitative,Experimental Analysis ,"An initial shift-share analysis indicates that, had the proportion of children living in female-headed families remained constant since 1970, the 1998 child poverty rate would have been 4.4 percentage points lower than its actual 1998 level of 18.3 percent. The March 1999 Current Population Survey is then used to conduct a second analysis in which marriages are simulated between single mothers and demographically similar, unrelated males."
https://doi.org/10.1002/pam.10077,Journal of Policy Analysis and Management,2002,Differential effects of high-quality child care,Quantitative,Experimental Analysis ,"The authors illustrate a new approach to this challenge within the context of the Infant Health and Development Program, a multisite randomized study that provided at-risk children with intensive, center-based child care. "
https://doi.org/10.1002/pam.10078,Journal of Policy Analysis and Management,2002,Public management and organizational performance: The effect of managerial quality,Quantitative,Statistical Analysis ,"Using 5 years of data from more than 1000 Texas school districts, the authors measure quality as the additional salary paid to school superintendents over and above the normal determinants of salary. "
https://doi.org/10.1002/pam.10079,Journal of Policy Analysis and Management,2002,Stakeholder partnerships as collaborative policymaking: Evaluation criteria applied to watershed management in California and Washington,Qualitative,Case Study," This paper formalizes the concept of a stakeholder partnership, and proposes techniques for using interviews, surveys, and documents to measure each of six evaluation criteria. Then the criteria are applied to 44 watershed partnerships in California and Washington."
https://doi.org/10.1002/pam.10080,Journal of Policy Analysis and Management,2002,Does it pay to move from welfare to work?,Quantitative,Statistical Analysis ,"This paper analyzes data from a panel survey of single mothers, all of whom received welfare in February 1997. Estimations of fixed-effect regressions of income that control for both observable and unobservable time-invariant characteristics show that monthly net income increases by $2.63 for every additional hour of work effort."
https://doi.org/10.1002/pam.10093,Journal of Policy Analysis and Management,2002,Innovation and intellectual property: The case of genomic patenting,Qualitative,Cost-Benefit,"Emerging biotechnology, specifically the filing of patents on gene sequences, raises serious questions about whether the patent system is appropriately weighing societal costs and benefits in its grants of intellectual property protection."
https://doi.org/10.1002/pam.10094,Journal of Policy Analysis and Management,2002,Assigning priority to environmental policy interventions in a heterogeneous world,Quantitative,Cost-Benefit,"The objective of this paper is to help policy analysts and practitioners identify the conditions under which integrating cost and benefit information is likely to be vital to effective decision-making, and the conditions under which failing to use both cost and benefit data would result in little, if any, loss in efficiency."
https://doi.org/10.1002/pam.10095,Journal of Policy Analysis and Management,2002,Driving less for better air: Impacts of a public information campaign,Quantitative,Statistical Analysis ,A two-stage model used to analyze data from a rolling sample survey shows that the centerpiece of the information campaign—air quality alerts—was effective in raising awareness and reducing driving in a segment of the population.
https://doi.org/10.1002/pam.10096,Journal of Policy Analysis and Management,2002,Hospital selective contracting without consumer choice: What can we learn from Medi-Cal?,Quantitative,Comparative,"Instead, hospital competition appears to explain with greater consistency why certain hospitals choose to contract with Medi-Cal while others do not, the trends in inpatient prices paid by Medi-Cal over time, and the effect of price competition on service cutbacks, such as emergency room closures"
https://doi.org/10.1002/pam.10097,Journal of Policy Analysis and Management,2002,"Welfare reforms, family resources, and child maltreatment",Quantitative,Statistical Analysis,"The authors use state-level data from 1990 to 1998 to examine whether recent welfare reforms have increased or reduced the incidence of reported and substantiated cases of maltreatment, the incidence of specific types of substantiated maltreatment—physical abuse and neglect—and the number of children living in out-of-home care."
https://doi.org/10.1002/pam.10110,Journal of Policy Analysis and Management,2003,Presidential address—Fostering research excellence and impacting policy and practice: The welfare reform story,Qualitative,Theoretical,"I could discuss the people involved and why they emphasized quality and rigor: Or I could focus on the continuing methodological advances, in the spirit of a history of technology. I could speak about the role of quantitative and qualitative research and the need for a synthesis of the two."
https://doi.org/10.1002/pam.10112,Journal of Policy Analysis and Management,2003,Obstacles to desegregating public housing: Lessons learned from implementing eight consent decrees,Qualitative,Case Study,"Between 1992 and 1996 the U.S. Department of Housing and Urban Development (HUD) settled a number of legal cases involving housing authorities and agreed to take remedial action as part of court-enforced consent decrees entered into with plaintiffs. These cases occurred within and, in a fundamental sense, reflected the larger context of changes in the debate over how best to promote desegregation and equal opportunity."
https://doi.org/10.1002/pam.10136,Journal of Policy Analysis and Management,2003,Punctuations and agendas: A new look at local government budget expenditures,Quantitative,Theoretical Analysis,The article also determines the frequency of punctuations and the probability for future punctuations.
https://doi.org/10.1002/pam.10137,Journal of Policy Analysis and Management,2003,"Incentives for pollution abatement: Regulation, regulatory threats, and non-governmental pressures",Quantitative,Statistical Analysis,"In particular, using data from Canada's National Pollutant Release Inventory, it examines the impacts of conventional regulation, threats of regulation, and non-governmental pressures facilitated by public dissemination of information about pollutant releases."
https://doi.org/10.1002/pam.10138,Journal of Policy Analysis and Management,2003,Community environmental policing: Assessing new strategies of public participation in environmental regulation,Qualitative,Case Study,"This paper evaluates a new form of public participation in environmental monitoring and regulation advanced through local “bucket brigades,” which allow community members to sample air emissions near industrial facilities."
https://doi.org/10.1002/pam.10139,Journal of Policy Analysis and Management,2003,Public transit and the spatial distribution of minority employment: Evidence from a natural experiment,Quantitative,Experimental Analysis,"We evaluate this natural experiment by conducting a two-wave longitudinal survey of firms, with the first wave of interviews conducted immediately before the opening of service, and the second wave approximately a year later."
https://doi.org/10.1002/pam.10140,Journal of Policy Analysis and Management,2003,Do child care regulations affect the child care and labor markets?,Quantitative,Statistical Analysis,The analysis uses a time series of cross sections and examines the robustness of previous cross-section findings to controls for state-level heterogeneity.
https://doi.org/10.1002/pam.10152,Journal of Policy Analysis and Management,2003,Child protective intervention in the context of welfare reform: The effects of work and welfare on maltreatment reports,Quantitative,"Trend Analysis
",Trend analyses show that rates of child maltreatment reports among welfare recipients have risen since the passage of PRWORA in 1996.
https://doi.org/10.1002/pam.10153,Journal of Policy Analysis and Management,2003,How welfare reform affects young children: Experimental findings from Connecticut—A research note,Quantitative,Experimental Analysis,This note draws on a random-assignment experiment in Connecticut to ask whether mothers' rising employment levels and program participation are associated with changes in young children's early learning and cognitive growth.
https://doi.org/10.1002/pam.10154 ,Journal of Policy Analysis and Management,2003,Linking program implementation and effectiveness: Lessons from a pooled sample of welfare-to-work experiments,Quantitative,Statistical Analysis,"Data from three large-scale, multi-site random assignment experiments were pooled; quantitative measures of program implementation were constructed; and multilevel statistical modeling was used to examine the relationship between program implementation and effects on short-term client earnings."
https://doi.org/10.1002/pam.10175,Journal of Policy Analysis and Management,2003,"Governance and public management, an introduction",Qualitative,Theoretical/Empirical Analysis ,"The use of theory in identifying these relationships is critical, but theories
must be carefully tested rather than assumed or asserted to be true
"
https://doi.org/10.1002/pam.10176,Journal of Policy Analysis and Management,2003,The impact of state governance structures on management and performance of public organizations: A study of higher education institutions,Quantitative,Comparative Analysis,This paper develops a classification of higher education structures and shows the effects of differences in these structures on university management and performance using a data set that covers the period from 1987 to 1998.
https://doi.org/10.1002/pam.10177,Journal of Policy Analysis and Management,2003,Multilevel governance and organizational performance: Investigating the political-bureaucratic labyrinth,Quantitative,Statistical Analysis,"Results from an analysis of Texas school districts suggest that Latinos at all levels of the governance system, political and managerial, influence representation at other levels."
https://doi.org/10.1002/pam.10178,Journal of Policy Analysis and Management,2003,Dimensions of publicness and performance in substance abuse treatment organizations,Quantitative,Statistical Analysis,"Data from the National Treatment Improvement Evaluation Study (NTIES) were used to study the relationship of ownership and other dimensions of “publicness” identified in the public management literature to patient outcomes, controlling for patient characteristics, treatment experiences, and other program characteristics."
https://doi.org/10.1002/pam.10179,Journal of Policy Analysis and Management,2003,The influence of management on the cost of fire protection,Quantitative,Statistical Analysis,Two-stage least squares regression analysis is then employed to examine the fire protection case.
https://doi.org/10.1002/pam.10180,Journal of Policy Analysis and Management,2003,Conclusion,Qualitative,Empirical Analysis ,"We have utilized a logic of governance framework, which considers macroinfluences on systems for policy choice and action, but also suggests that subsequent"
https://doi.org/10.1002/pam.10181,Journal of Policy Analysis and Management,2003,Institutional boundaries and common-pool resource management: A comparative analysis of water management programs in California,Quantitative,Empirical Analysis ,"Two empirical methods were used to test hypotheses from the literature, using a study of water management programs in California."
https://doi.org/10.1002/pam.10182,Journal of Policy Analysis and Management,2003,Will empowering developers to challenge exclusionary zoning increase suburban housing choice?,Quantitative,Comparative,"Using aerial survey and housing census data over a 20-year period, this article finds that outcomes by housing type over a 20-year period in Pennsylvania municipalities around Philadelphia were more diverse than those in adjacent New Jersey municipalities."
https://doi.org/10.1002/pam.10183,Journal of Policy Analysis and Management,2003,Public wage differentials and the treatment of occupational differences,Quantitative,Statistical Analysis,Past research demonstrates that the estimated size of the federal government earnings differential shrinks substantially with the addition of detailed occupational controls.
https://doi.org/10.1002/pam.20000,Journal of Policy Analysis and Management,2004,Presidential address—The extrapolation problem: How can we learn from the experience of others?,Qualitative,Comparative/Case Study,"We’ve got this problem here in Jackson County of big fire hazards building up in the rural-urban interface. Go find out what they’re doing about it over in Washington, Jefferson, and Lincoln counties. See if anything they’re doing about it might make sense for us.” What methodology should you use in fulfilling this request? How do you conceptualize “what they’re doing,” and see which if any elements might “make sense”?"
https://doi.org/10.1002/pam.20002,Journal of Policy Analysis and Management,2004,"Dynamic selection effects in means-tested, urban school voucher programs",Quantitative,Comparative Analysis ,"It compares students who applied for vouchers, with the eligible population of public-school students; those who initially used vouchers, with those who declined them; and those who remained in private schools, with those who eventually returned to public schools."
https://doi.org/10.1002/pam.20003,Journal of Policy Analysis and Management,2004,Do school accountability systems make it more difficult for low-performing schools to attract and retain high-quality teachers?,Quantitative,Statistical Analysis,Administrative data from North Carolina are used to explore the extent to which that state's relatively sophisticated school-based accountability system has exacerbated the challenges that schools serving low-performing students face in retaining and attracting high-quality teachers.
https://doi.org/10.1002/pam.20004,Journal of Policy Analysis and Management,2004,Changes in living arrangements during the late 1990s: Do welfare policies matter?,Quantitative,Statistical Analysis,Results from a multivariate difference-in-difference-in-differences model suggest that more effective collection of child support and family cap policies are correlated with declines in single parenting and increases in dual parenting.
https://doi.org/10.1002/pam.20005,Journal of Policy Analysis and Management,2004,Modeling health insurance expansions: Effects of alternate approaches,Quantitative,Theoretical Analysis ,This paper categorizes and describes the different approaches used; explains the conceptual and theoretical relationships between the methods; demonstrates empirically an example of the (quite restrictive) conditions under which all approaches can yield quantitatively identical predictions; and empirically demonstrates conditions under which the approaches diverge and the quantitative extent of that divergence. 
https://doi.org/10.1002/pam.20006,Journal of Policy Analysis and Management,2004,The impact of state enterprise zones on urban manufacturing establishments,Quantitative,Comparative ,"Matched sample and geographic comparison groups are created to measure the impact of zone policy on employment, establishment, shipment, payroll, and capital spending outcomes."
https://doi.org/10.1002/pam.20007,Journal of Policy Analysis and Management,2004,Using laboratory experiments for policymaking: An example from the Georgia irrigation reduction auction,Quantitative,Experimental,This paper reports the results of laboratory experiments state policymakers used to determine the auction institution that would be used to fulfill the requirements of this new law. 
